year	leaf_num	num_leaves	pos	width	stipples	eggs	temp	light	batch	batch_2015	room	cage	side	source	temp_c
2014	4	7	7	19	6	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2014	5	8	3	30	0	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2014	6	8	4	22	3	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2014	7	10	7	26	0	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2014	8	7	5	20	0	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2014	9	9	6	20	0	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2014	10	9	4	16	0	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2015	NA	NA	NA	22	9	1	warm	light	1	1	1	1	1	Sun	22.6008316
2015	NA	NA	NA	32	22	0	warm	light	1	1	1	1	1	Sun	22.6008316
2015	NA	NA	NA	31	31	2	warm	light	1	1	1	1	1	Sun	22.6008316
2015	NA	NA	NA	22	6	5	warm	light	1	1	1	1	1	Sun	22.6008316
2015	NA	NA	NA	27	0	0	warm	light	1	1	1	1	1	Sun	22.6008316
2015	NA	NA	NA	28	4	0	warm	light	1	1	1	1	1	Shade	22.6008316
2015	NA	NA	NA	29	12	0	warm	light	1	1	1	1	1	Shade	22.6008316
2015	NA	NA	NA	30	25	0	warm	light	1	1	1	1	1	Shade	22.6008316
2015	NA	NA	NA	27	0	0	warm	light	1	1	1	1	1	Shade	22.6008316
2015	NA	NA	NA	26	0	0	warm	light	1	1	1	1	1	Shade	22.6008316
2015	NA	NA	NA	22	0	0	warm	dark	1	1	1	1	2	Sun	22.39130435
2015	NA	NA	NA	30	0	0	warm	dark	1	1	1	1	2	Sun	22.39130435
2015	NA	NA	NA	34	0	0	warm	dark	1	1	1	1	2	Sun	22.39130435
2015	NA	NA	NA	32	1	0	warm	dark	1	1	1	1	2	Sun	22.39130435
2015	NA	NA	NA	22	0	0	warm	dark	1	1	1	1	2	Sun	22.39130435
2015	NA	NA	NA	27	1	0	warm	dark	1	1	1	1	2	Shade	22.39130435
2015	NA	NA	NA	28	0	0	warm	dark	1	1	1	1	2	Shade	22.39130435
2015	NA	NA	NA	30	1	0	warm	dark	1	1	1	1	2	Shade	22.39130435
2015	NA	NA	NA	31	0	0	warm	dark	1	1	1	1	2	Shade	22.39130435
2015	NA	NA	NA	24	0	1	warm	dark	1	1	1	1	2	Shade	22.39130435
2015	NA	NA	NA	36	40	3	warm	light	1	1	1	2	1	Sun	22.6008316
2015	NA	NA	NA	26	0	0	warm	light	1	1	1	2	1	Sun	22.6008316
2015	NA	NA	NA	31	13	0	warm	light	1	1	1	2	1	Sun	22.6008316
2015	NA	NA	NA	26	40	0	warm	light	1	1	1	2	1	Sun	22.6008316
2015	NA	NA	NA	19	1	0	warm	light	1	1	1	2	1	Sun	22.6008316
2015	NA	NA	NA	24	0	0	warm	light	1	1	1	2	1	Shade	22.6008316
2015	NA	NA	NA	23	12	1	warm	light	1	1	1	2	1	Shade	22.6008316
2015	NA	NA	NA	26	0	0	warm	light	1	1	1	2	1	Shade	22.6008316
2015	NA	NA	NA	26	3	2	warm	light	1	1	1	2	1	Shade	22.6008316
2015	NA	NA	NA	22	0	0	warm	light	1	1	1	2	1	Shade	22.6008316
2015	NA	NA	NA	21	0	1	warm	dark	1	1	1	2	2	Sun	22.39130435
2015	NA	NA	NA	19	32	3	warm	dark	1	1	1	2	2	Sun	22.39130435
2015	NA	NA	NA	23	0	0	warm	dark	1	1	1	2	2	Sun	22.39130435
2015	NA	NA	NA	23	0	0	warm	dark	1	1	1	2	2	Sun	22.39130435
2015	NA	NA	NA	23	0	0	warm	dark	1	1	1	2	2	Sun	22.39130435
2015	NA	NA	NA	24	46	0	warm	dark	1	1	1	2	2	Shade	22.39130435
